scheme,scenario,nprobe,hnsw_ef,query_count,recall_at_k,qps,wall_s
hash,selective,44,40,2000,0.9021,392.9238859243531,5.090044335927814
hash,selective,44,48,2000,0.9174,368.48304090519605,5.427658203989267
hash,selective,44,64,2000,0.93765,313.44466772475806,6.380711512872949
hash,selective,44,80,2000,0.9516,279.55015225800173,7.154351317090914
hash,selective,44,96,2000,0.9621,258.96373730273797,7.723089034901932
kmeans,selective,1,24,2000,0.4586,2951.2980603102374,0.6776679139584303
kmeans,selective,1,32,2000,0.4791,3221.682391534993,0.6207936590071768
kmeans,selective,1,40,2000,0.4942,3098.9243713584997,0.6453852241393179
kmeans,selective,1,48,2000,0.50385,3203.7694733178864,0.6242646409664303
kmeans,selective,1,64,2000,0.51735,2864.9995578461544,0.6980803869664669
kmeans,selective,1,80,2000,0.5273,2725.0583745813688,0.7339292319957167
kmeans,selective,1,96,2000,0.534,2638.639589023625,0.7579663430806249
kmeans,selective,2,24,2000,0.5784,2685.494662421636,0.7447417520452291
kmeans,selective,2,32,2000,0.60375,2554.6156021555876,0.7828966511879116
kmeans,selective,2,40,2000,0.6232,2463.751501664748,0.8117701800074428
kmeans,selective,2,48,2000,0.6356,2482.3209846958343,0.8056975759100169
kmeans,selective,2,64,2000,0.65315,2217.24807717905,0.9020190481096506
kmeans,selective,2,80,2000,0.6665,2157.6578776658057,0.9269310119561851
kmeans,selective,2,96,2000,0.6762,1966.9999947950814,1.016776820179075
kmeans,selective,4,24,2000,0.65675,2019.7337745315708,0.9902295169886202
kmeans,selective,4,32,2000,0.68645,1980.792851664385,1.0096966971177608
kmeans,selective,4,40,2000,0.70985,1806.1288114859112,1.1073407318908721
kmeans,selective,4,48,2000,0.7243,1793.6277681928732,1.1150585620198399
kmeans,selective,4,64,2000,0.7448,1612.4625410343845,1.2403388910461217
kmeans,selective,4,80,2000,0.76165,1518.8125506737588,1.3168181939981878
kmeans,selective,4,96,2000,0.77315,1413.9838149386753,1.4144433471374214
kmeans,selective,8,24,2000,0.7067,1453.730576674005,1.375770746031776
kmeans,selective,8,32,2000,0.74005,1373.3022177452121,1.4563436759635806
kmeans,selective,8,40,2000,0.76565,1276.0993111935454,1.567276137880981
kmeans,selective,8,48,2000,0.7818,1207.5685521520618,1.656220672884956
kmeans,selective,8,64,2000,0.80535,1101.4555789377735,1.8157790820114315
kmeans,selective,8,80,2000,0.824,1063.6660189473273,1.8802894558757544
kmeans,selective,8,96,2000,0.8371,955.8840704608701,2.0923039328772575
kmeans,selective,16,24,2000,0.7415,986.1859427504761,2.0280151169281453
kmeans,selective,16,32,2000,0.77745,919.6253099010743,2.1747987777926028
kmeans,selective,16,40,2000,0.8051,857.5420483591262,2.332247151993215
kmeans,selective,16,48,2000,0.8229,818.4116932934961,2.443757849978283
kmeans,selective,16,64,2000,0.8488,715.4509731373253,2.7954396249260753
kmeans,selective,16,80,2000,0.86915,651.8024021484188,3.068414589157328
kmeans,selective,16,96,2000,0.88305,601.2169010397428,3.326586455805227
kmeans,selective,32,24,2000,0.76075,609.8807912383355,3.2793293849099427
kmeans,selective,32,32,2000,0.798,554.215183691367,3.6087066158652306
kmeans,selective,32,40,2000,0.82675,512.9161434159909,3.899272864917293
kmeans,selective,32,48,2000,0.8455,475.5526908564953,4.205632810946554
kmeans,selective,32,64,2000,0.8726,419.6576272491979,4.765789706027135
kmeans,selective,32,80,2000,0.8938,374.595270680102,5.339095702860504
kmeans,selective,32,96,2000,0.90835,346.235913919065,5.776408280013129
kmeans,selective,44,24,2000,0.76485,486.0039745342183,4.115192683180794
kmeans,selective,44,32,2000,0.80245,447.90274634034483,4.465255049988627
kmeans,selective,44,40,2000,0.83135,404.514917445211,4.944193436997011
kmeans,selective,44,48,2000,0.85015,384.36811092032457,5.203345291083679
kmeans,selective,44,64,2000,0.8775,339.5453096870061,5.890230089891702
kmeans,selective,44,80,2000,0.89875,305.7455937043215,6.541386175900698
kmeans,selective,44,96,2000,0.91345,273.8729728905651,7.302655603038147
balanced_kmeans,selective,1,24,2000,0.4245,2943.4383863527387,0.6794774469453841
balanced_kmeans,selective,1,32,2000,0.44175,2728.2087785878334,0.7330817258916795
balanced_kmeans,selective,1,40,2000,0.4546,3094.215054889749,0.6463674840051681
balanced_kmeans,selective,1,48,2000,0.463,3095.7486582010456,0.6460472799371928
balanced_kmeans,selective,1,64,2000,0.4756,2892.998635984876,0.691324211191386
balanced_kmeans,selective,1,80,2000,0.48315,2614.225812986206,0.7650448519270867
balanced_kmeans,selective,1,96,2000,0.48805,2566.7359627605238,0.7791997420135885
balanced_kmeans,selective,2,24,2000,0.53805,2815.425978247829,0.710372077068314
balanced_kmeans,selective,2,32,2000,0.55995,2624.454213856994,0.7620632089674473
balanced_kmeans,selective,2,40,2000,0.5761,2623.251150458227,0.7624127028975636
balanced_kmeans,selective,2,48,2000,0.5865,2558.3979758158484,0.781739205121994
balanced_kmeans,selective,2,64,2000,0.6036,2390.65349360956,0.8365913359448314
balanced_kmeans,selective,2,80,2000,0.61345,2192.0418588232997,0.9123913359362632
balanced_kmeans,selective,2,96,2000,0.6204,2047.9194494573462,0.9766009110026062
balanced_kmeans,selective,4,24,2000,0.6189,1978.2154993574197,1.0110121979378164
balanced_kmeans,selective,4,32,2000,0.64405,1894.8445411940268,1.0554955599363893
balanced_kmeans,selective,4,40,2000,0.6635,1731.9640627124575,1.1547583711799234
balanced_kmeans,selective,4,48,2000,0.67585,1728.2136086032006,1.157264350913465
balanced_kmeans,selective,4,64,2000,0.6963,1543.9910908612744,1.295344261918217
balanced_kmeans,selective,4,80,2000,0.70865,1502.8835721245432,1.330775076057762
balanced_kmeans,selective,4,96,2000,0.7171,1512.7889308476315,1.3220614979509264
balanced_kmeans,selective,8,24,2000,0.67735,1430.3531396299738,1.3982560981530696
balanced_kmeans,selective,8,32,2000,0.7054,1353.1550486606618,1.4780272238422185
balanced_kmeans,selective,8,40,2000,0.7276,1282.513641245186,1.5594376041553915
balanced_kmeans,selective,8,48,2000,0.74245,1218.5604212982048,1.6412809451576322
balanced_kmeans,selective,8,64,2000,0.7655,1117.0397992296598,1.7904465009924024
balanced_kmeans,selective,8,80,2000,0.77995,1027.8672311607468,1.9457765938714147
balanced_kmeans,selective,8,96,2000,0.79045,952.9694373974163,2.0987031918484718
balanced_kmeans,selective,16,24,2000,0.7287,950.5544592352244,2.1040351560804993
balanced_kmeans,selective,16,32,2000,0.7595,952.2713137661675,2.100241780979559
balanced_kmeans,selective,16,40,2000,0.7843,856.7738273260574,2.3343383471947163
balanced_kmeans,selective,16,48,2000,0.80105,813.9714858600822,2.4570885279681534
balanced_kmeans,selective,16,64,2000,0.82745,746.6407774802462,2.6786643059458584
balanced_kmeans,selective,16,80,2000,0.8441,657.5325319927584,3.041674598120153
balanced_kmeans,selective,16,96,2000,0.8563,597.547361646091,3.3470150290522724
balanced_kmeans,selective,32,24,2000,0.772,602.9184221589649,3.3171983580105007
balanced_kmeans,selective,32,32,2000,0.80545,546.6120773233285,3.6589019580278546
balanced_kmeans,selective,32,40,2000,0.8325,521.0076701060567,3.838715079938993
balanced_kmeans,selective,32,48,2000,0.8508,467.5908060231962,4.277244065189734
balanced_kmeans,selective,32,64,2000,0.87925,424.8597155175086,4.707436188822612
balanced_kmeans,selective,32,80,2000,0.89745,368.5332026099929,5.426919435849413
balanced_kmeans,selective,32,96,2000,0.9107,332.69147974868196,6.0115756541490555
balanced_kmeans,selective,44,24,2000,0.7868,468.1354854498359,4.272267457097769
balanced_kmeans,selective,44,32,2000,0.8209,424.7012089972133,4.709193093003705
balanced_kmeans,selective,44,40,2000,0.8488,386.86845096752813,5.169715946074575
balanced_kmeans,selective,44,48,2000,0.86765,364.3249310618809,5.48960510105826
balanced_kmeans,selective,44,64,2000,0.8965,315.2937914808236,6.343290144111961
balanced_kmeans,selective,44,80,2000,0.9152,285.8722422133055,6.996132204076275
balanced_kmeans,selective,44,96,2000,0.92865,262.4822930797257,7.619561596075073
