upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard
200,32,10,1000,10,0.9553,85.93314979374162,11.636952705681324,22.167,200.0,122.22420715477963
200,32,12,1000,10,0.9598,85.46669221204824,11.700464521534741,22.167,200.0,140.26904858573556
300,20,4,1000,10,0.9373,80.83453619502096,12.370949931442738,26.561,300.0,65.17902187417643
300,20,6,1000,10,0.9512,75.11571476311398,13.31279351003468,26.561,300.0,87.76853281126463
300,20,8,1000,10,0.9603,78.47197287159501,12.743403324857354,26.561,300.0,110.35804374835284
300,20,10,1000,10,0.9658,64.01815126083147,15.620569796301425,26.561,300.0,132.94755468544105
300,20,12,1000,10,0.9701,62.82605165113458,15.916963961906731,26.561,300.0,155.53706562252927
300,24,4,1000,10,0.9397,85.53877399749945,11.690604778006673,26.561,300.0,69.17902187417643
300,24,6,1000,10,0.9528,79.72591149889892,12.542973560281098,26.561,300.0,91.76853281126463
300,24,8,1000,10,0.9615,74.95680966560374,13.341016039252281,26.561,300.0,114.35804374835284
300,24,10,1000,10,0.9666,60.18583255928882,16.61520589608699,26.561,300.0,136.94755468544105
300,24,12,1000,10,0.9705,62.97321880304818,15.879766335710883,26.561,300.0,159.53706562252927
300,28,4,1000,10,0.942,79.84177758598837,12.524771244265139,26.561,300.0,73.17902187417643
300,28,6,1000,10,0.954,75.63047203750513,13.222183771431446,26.561,300.0,95.76853281126463
300,28,8,1000,10,0.9627,64.71493895246054,15.452382652089,26.561,300.0,118.35804374835284
300,28,10,1000,10,0.9675,60.49318560737411,16.530787558294833,26.561,300.0,140.94755468544105
300,28,12,1000,10,0.9712,56.43581563751169,17.719244219362736,26.561,300.0,163.53706562252927
300,32,4,1000,10,0.9435,79.99483670540371,12.500806816853583,26.561,300.0,77.17902187417643
300,32,6,1000,10,0.9557,79.58267677118886,12.565548691898584,26.561,300.0,99.76853281126463
300,32,8,1000,10,0.9635,71.30904184471801,14.023467068560421,26.561,300.0,122.35804374835284
300,32,10,1000,10,0.9681,59.68377679982457,16.754971846938133,26.561,300.0,144.94755468544105
300,32,12,1000,10,0.9722,57.578957392803005,17.367455842904747,26.561,300.0,167.53706562252927
