dataset,partition_method,partition_seed,logical_shards,physical_core_equivalents,m32_capacity_fraction,relevant_query_shard_pairs,ef_search,local_target_recall_mean,local_target_recall_median,local_target_recall_p95,local_target_recall_std,local_target_recall_target_weighted,distance_computations_mean,distance_computations_median,distance_computations_p95,distance_computations_std,graph_nodes_visited_mean,graph_nodes_visited_median,graph_nodes_visited_p95,graph_nodes_visited_std,worker_cpu_us_mean,worker_cpu_us_median,worker_cpu_us_p95,worker_cpu_us_std,local_latency_us_mean,local_latency_us_median,local_latency_us_p95,local_latency_us_std
sift1m,kmeans,20260820,2,2,0.0625,9026,32,0.944038826107295,1.0,1.0,0.09899524928553367,0.9439444444444445,1043.4183469975626,1072.0,1411.0,249.20497925245473,42.76623088854421,42.0,47.0,2.411076330855964,167.2682251274097,167.0,231.0,39.98140165201397,3686.1818319299805,3377.0335,6849.3385,1649.0914964704095
sift1m,kmeans,20260820,2,2,0.0625,9026,40,0.9603140310707341,1.0,1.0,0.08063189942073412,0.9602333333333334,1222.2998005761135,1264.0,1645.0,294.8207221772032,50.54276534456016,50.0,54.0,2.262077479745998,195.30966097939287,195.0,269.0,47.29031821097062,3713.3765961666295,3411.3985000000002,6814.956,1664.8630418731266
sift1m,kmeans,20260820,2,2,0.0625,9026,80,0.9879200827239826,1.0,1.0,0.04052611769999458,0.9879,2060.538333702637,2144.0,2796.75,527.3646424668093,90.02681143363617,90.0,93.0,1.921732210825455,333.9406159982273,336.0,478.0,86.2194612519651,3888.979005982717,3596.9610000000002,6950.93625,1615.3575933746556
sift1m,kmeans,20260820,2,2,0.0625,9026,160,0.9970640372257922,1.0,1.0,0.018981947020943458,0.9970555555555556,3547.8625083093284,3705.0,4909.0,969.9069638596319,169.77143806780413,170.0,173.0,1.8297065113781874,612.8414580101928,610.0,938.0,174.94099797561026,4306.7112395302465,4056.0055,7342.3295,1658.358932636897
sift1m,kmeans,20260820,2,2,0.0625,9026,320,0.9990028805672502,1.0,1.0,0.009935677939215622,0.999,6105.92543762464,6368.0,8591.75,1758.4707485989666,329.64713051185464,330.0,333.0,1.8263620525585937,1320.0058719255485,1340.0,1895.0,384.0934879966985,6064.749895634833,5633.743,11304.59275,2766.771641810621
sift1m,kmeans,20260820,4,4,0.125,11006,10,0.8005176829954224,0.9,1.0,0.22433323615042464,0.7941555555555555,501.22969289478465,499.0,711.0,124.26053028728074,21.800290750499727,21.0,27.0,2.676599843581446,96.16136652734872,89.0,160.0,32.28659849534117,4075.752125658732,3717.932,7849.471,1963.9570875675179
sift1m,kmeans,20260820,4,4,0.125,11006,16,0.8793622309908881,1.0,1.0,0.17264867274515125,0.8728666666666667,646.3611666363802,651.0,890.0,154.24704578158975,27.466563692531345,27.0,32.0,2.6962529008812894,118.75131746320189,110.0,192.0,38.33772136091875,4249.5892269671085,3905.4375,7951.81775,1964.3455544791727
sift1m,kmeans,20260820,4,4,0.125,11006,20,0.9080064192979875,1.0,1.0,0.14819109493461946,0.9022444444444444,739.0851353807014,750.0,1005.0,173.01941533713563,31.230601490096312,31.0,36.0,2.6106745851912225,134.44275849536618,126.0,217.0,43.090847489532756,4249.558214155914,3885.23,8014.11025,1967.5064776576285
sift1m,kmeans,20260820,4,4,0.125,11006,24,0.9275713607873339,1.0,1.0,0.1306754789942628,0.9227333333333333,830.0155369798292,847.0,1119.0,192.7471413725371,35.015446120298016,35.0,39.0,2.5085964171161086,146.77775758677086,139.0,233.0,45.804783321084685,8180.74576948937,7306.4665,17019.66725,4628.679307677803
sift1m,kmeans,20260820,4,4,0.125,11006,32,0.9531863932804331,1.0,1.0,0.1027806828587561,0.9499333333333333,1008.3659821915319,1034.0,1356.0,233.82282825282664,42.70606941668181,42.0,47.0,2.3491782457312085,178.80074504815556,168.0,284.0,56.798376817584824,4278.489174177722,3923.9030000000002,7913.1627499999995,1929.0689894469708
