ef_search_up,dynamic_ef_base,dynamic_ef_factor,qps,recall_at_10,avg_visited_shards,avg_total_hops,avg_l0_hops_per_visited_shard,avg_distance_computations,started_at_epoch
80.0,28.0,4.0,2032.66,0.8856,14.245,889.38,69.4336,25906.3,1776411442.6580186
80.0,28.0,6.0,1981.76,0.89926,14.245,1063.39,88.4915,29615.2,1776411442.6580186
80.0,28.0,8.0,1779.82,0.909,14.245,1237.11,107.547,33123.9,1776411442.6580186
80.0,28.0,10.0,1538.29,0.9158,14.245,1411.18,126.609,36477.8,1776411442.6580186
100.0,8.0,2.0,3357.18,0.83546,16.3272,504.815,30.7476,15758.9,1776411442.6580186
100.0,8.0,4.0,2583.93,0.87452,16.3272,727.045,50.9613,21111.9,1776411442.6580186
100.0,8.0,6.0,2149.63,0.89434,16.3272,948.424,71.1503,26032.6,1776411442.6580186
100.0,8.0,8.0,1848.31,0.9073,16.3272,1168.42,91.2818,30614.5,1776411442.6580186
100.0,8.0,10.0,1611.59,0.9161,16.3272,1388.3,111.403,34966.9,1776411442.6580186
100.0,12.0,2.0,3003.68,0.84518,16.3272,575.905,35.037,17926.6,1776411442.6580186
100.0,12.0,4.0,2395.31,0.8802,16.3272,796.954,55.193,23170.4,1776411442.6580186
100.0,12.0,6.0,1988.88,0.89858,16.3272,1016.88,75.3115,27992.3,1776411442.6580186
100.0,12.0,8.0,1719.81,0.91004,16.3272,1236.07,95.3982,32504.6,1776411442.6580186
100.0,12.0,10.0,1503.54,0.91872,16.3272,1455.17,115.487,36793.2,1776411442.6580186
100.0,16.0,2.0,2750.06,0.85336,16.3272,645.558,39.2512,20007.5,1776411442.6580186
100.0,16.0,4.0,2208.89,0.88488,16.3272,864.928,59.3251,25135.2,1776411442.6580186
100.0,16.0,6.0,1851.12,0.90212,16.3272,1083.75,79.392,29868.6,1776411442.6580186
100.0,16.0,8.0,1562.15,0.91274,16.3272,1302.75,99.4663,34334.8,1776411442.6580186
100.0,16.0,10.0,1347.66,0.92122,16.3272,1521.38,119.537,38567.7,1776411442.6580186
100.0,20.0,2.0,2284.92,0.86076,16.3272,713.389,43.3753,21989.3,1776411442.6580186
100.0,20.0,4.0,1870.04,0.8892,16.3272,931.75,63.4014,27027.5,1776411442.6580186
100.0,20.0,6.0,1542.53,0.90532,16.3272,1150.29,83.4523,31706.1,1776411442.6580186
100.0,20.0,8.0,1358.22,0.91534,16.3272,1368.7,103.505,36114.4,1776411442.6580186
100.0,20.0,10.0,1214.74,0.92316,16.3272,1586.97,123.546,40303.5,1776411442.6580186
100.0,24.0,2.0,2048.35,0.86626,16.3272,780.067,47.4467,23905.1,1776411442.6580186
100.0,24.0,4.0,1177.89,0.8932,16.3272,997.954,67.4428,28868.9,1776411442.6580186
100.0,24.0,6.0,950.707,0.9081,16.3272,1215.9,87.4614,33489.5,1776411442.6580186
100.0,24.0,8.0,872.052,0.91744,16.3272,1433.98,107.496,37852.4,1776411442.6580186
100.0,24.0,10.0,822.204,0.92464,16.3272,1651.96,127.527,42002.2,1776411442.6580186
100.0,28.0,2.0,1431.39,0.87156,16.3272,845.738,51.4412,25758.1,1776411442.6580186
100.0,28.0,4.0,1236.32,0.89664,16.3272,1063.16,71.4285,30656.4,1776411442.6580186
