dataset,partition_method,partition_seed,logical_shards,common_ef_search,query_shard_pair_count,local_target_recall_mean,local_target_recall_median,local_target_recall_p95,local_target_recall_std,distance_computations_mean,distance_computations_median,distance_computations_p95,distance_computations_std,graph_nodes_visited_mean,local_latency_us_mean_secondary,fixed_recall_80_success_fraction,fixed_recall_80_required_ef_search_mean,fixed_recall_80_required_distance_computations_mean,fixed_recall_80_required_graph_nodes_visited_mean,fixed_recall_90_success_fraction,fixed_recall_90_required_ef_search_mean,fixed_recall_90_required_distance_computations_mean,fixed_recall_90_required_graph_nodes_visited_mean,fixed_recall_95_success_fraction,fixed_recall_95_required_ef_search_mean,fixed_recall_95_required_distance_computations_mean,fixed_recall_95_required_graph_nodes_visited_mean
glove-200-angular,orion,1,2,320,13306,0.9251766717007963,1.0,1.0,0.17172448447032018,10559.828723883962,10942.0,15032.25,3125.876314524252,331.81143844882007,1279.4151510596723,0.8639711408387194,54.6294363256785,2639.6289144050106,69.714335421016,0.8073049751991582,63.10742878421151,2851.705175944889,77.60389126792032,0.7669472418457839,67.39441450269476,2932.005781479667,81.6610485056345
glove-200-angular,orion,1,4,320,19608,0.9119712030398994,1.0,1.0,0.2190117405837507,10608.452978376174,10746.5,15349.649999999998,3030.395987140004,331.08955528355773,1125.9918400652796,0.854141166870665,65.40601862909004,2988.0985192261764,79.7545378552663,0.8093635250917993,72.71077504725898,3193.9698802772527,86.75967233774418,0.8027335781313749,75.53049555273189,3269.252033036849,89.52789072426938
glove-200-angular,orion,1,8,320,22127,0.9238081428922935,1.0,1.0,0.2178905304764187,10117.411488227053,10304.0,14704.0,3062.277615596517,330.05011976318525,998.9456772269174,0.8818185926695892,65.55914309143091,2866.633610086101,79.09240467404675,0.8502734216116057,71.88689273944935,3043.2820771765705,85.19607738917827,0.8462511863334388,74.14098798397863,3103.3251268357812,87.40736982643524
glove-200-angular,orion,1,16,320,24584,0.9316860495147186,1.0,1.0,0.22058393701140735,9532.143060527173,9226.5,13773.0,2754.772070739312,329.36853237878296,865.8026765375854,0.9048974943052391,66.95091252359975,2746.6049626899216,79.71801672210735,0.8845183859420761,74.4092894918372,2966.844883881352,86.98330650724304,0.8821184510250569,77.09905007839158,3038.2260444526423,89.62261366780412
glove-200-angular,orion,1,32,320,27297,0.9531820608230105,1.0,1.0,0.18054503840996594,8586.91244459098,8541.0,12374.199999999997,2516.8115522172134,328.7863867824303,706.922702128439,0.9307982562186321,55.738350125944585,2194.664318324937,67.76279124685138,0.9157050225299483,61.04216674667947,2337.0242438790206,72.8912225956153,0.9138000512876873,62.629089159717765,2376.7633499037843,74.44656029506093
glove-200-angular,orion_no_refinement,1,2,320,14584,0.9268257124572263,1.0,1.0,0.17319940579122273,10957.969624245748,11323.0,15265.699999999997,3079.480716735622,331.72078990674714,1279.5577345035656,0.8647833241908941,56.14097684744688,2758.4381541389153,70.98786869647954,0.8062260010970927,63.16805579180133,2934.9428474230313,77.53282871236605,0.7822956664838179,66.43176439652906,3003.022964326409,80.67446752563765
glove-200-angular,orion_no_refinement,1,4,320,20737,0.9172427590894582,1.0,1.0,0.21531660102246378,10770.370931185804,10966.0,15301.2,3120.1397970950707,330.7787529536577,1138.6446448377296,0.8648309784443265,60.633991301438606,2811.1053864168616,74.80244228839076,0.8201282731349762,65.80937261127771,2925.927559240313,79.74228258952196,0.8154988667598978,67.90964461001715,2979.85997279877,81.8094139908935
glove-200-angular,orion_no_refinement,1,8,320,27261,0.9379736183384251,1.0,1.0,0.20310197788013104,10612.354939290562,10697.0,15536.0,3152.9481606464037,329.92663511976815,1022.1328271156598,0.9045522908183853,59.70436757370534,2739.2213796179894,73.10941238493045,0.8854040570778768,65.12076894394498,2903.482122881883,78.37129717860546,0.8834232053116173,66.18818253539841,2931.3688078727732,79.42494705809077
glove-200-angular,orion_no_refinement,1,16,320,27610,0.9455330050648776,1.0,1.0,0.20133699542667924,9917.62060847519,10048.0,14253.55,2809.148369111882,329.0765302426657,893.3168055052518,0.9255342267294459,61.92024731940205,2635.192220396024,74.47256789543711,0.9114089098152843,68.38380225719281,2834.295342552853,80.78683834048641,0.9094168779427744,70.46238400573499,2891.5987494523874,82.8369907204588
glove-200-angular,orion_no_refinement,1,32,320,31003,0.9612951178815773,1.0,1.0,0.17489686316549055,8916.957617004806,8906.0,12758.899999999998,2509.3154655814346,328.59858723349356,704.9901622423637,0.9489404251201496,53.56492182188987,2150.5902107409925,65.47331747110809,0.941779827758604,58.8612233714638,2305.9250633605043,70.6528871840537,0.9408121794665032,59.925603400987384,2333.572202413604,71.69672243554581
sift1m,random,20260820,2,24,17983,0.9424587507248909,1.0,1.0,0.1332376611176921,831.8760496024023,850.0,1126.0,195.0978265251558,,,0.9997775677028304,18.5093720451638,720.7772401134657,30.28855887424217,0.9994995273313685,26.19728496717481,900.396127740069,37.725269834204965,0.9994995273313685,26.217313897852453,900.8109491487704,37.744909313452766
sift1m,random,20260820,4,24,33941,0.9653161087657713,1.0,1.0,0.13895565921072256,780.1613977195722,800.0,1049.0,181.47599359160475,,,0.9999410742170236,15.546421520964083,604.8872388697368,26.885382598190873,0.9999410742170236,16.15427679071275,618.5519314063466,27.472789416305726,0.9999410742170236,16.15427679071275,618.5519314063466,27.472789416305726
sift1m,random,20260820,8,24,52912,0.9809750151194437,1.0,1.0,0.12071824467747849,725.8546832476565,745.0,973.0,166.48128805020465,,,1.0,12.521545207136377,496.02821666162686,23.48949198669489,1.0,12.543657393407923,496.4955019655277,23.510867100090717,1.0,12.543657393407923,496.4955019655277,23.510867100090717
sift1m,random,20260820,16,24,68347,0.989828375788257,1.0,1.0,0.09522952790759628,661.1888012641374,678.0,881.0,149.19324416695045,,,0.9999853687799025,11.193486085506102,423.07830743569485,21.683683024610072,0.9999853687799025,11.194363971556491,423.09735756298835,21.68454627922629,0.9999853687799025,11.194363971556491,423.09735756298835,21.68454627922629
sift1m,random,20260820,32,24,78298,0.9952765928461349,1.0,1.0,0.06699693557838238,594.5730670004342,609.0,791.0,131.7915216011704,,,1.0,10.602441952540294,368.8904697437993,20.818667143477484,1.0,10.602441952540294,368.8904697437993,20.818667143477484,1.0,10.602441952540294,368.8904697437993,20.818667143477484
sift1m,kmeans,20260820,2,24,9026,0.9148139941403846,1.0,1.0,0.1253524167683932,861.0448703744737,881.0,1174.0,205.09962310684682,,,1.0,18.256148903168626,749.8359184577886,30.38400177265677,1.0,26.61865721249723,954.4157988034567,38.415688012408594,0.9957899401728341,48.16088117489986,1445.3024032042724,59.37205162438807
sift1m,kmeans,20260820,4,24,11006,0.9284400788603041,1.0,1.0,0.13058642544830404,831.0658731600945,846.0,1130.0,194.25755519540544,,,0.9997274214065055,17.922384804144325,709.7241661365082,29.433881668635827,0.999545702344176,25.93309699118262,896.6527588401054,37.14916825743114,0.9971833545338906,39.35216400911162,1194.1641002277904,50.19170842824602
sift1m,kmeans,20260820,8,24,14067,0.9383331020140574,1.0,1.0,0.14206068130142116,795.1604464349186,807.0,1067.0,177.69387326212347,,,0.999928911637165,17.562917673823403,664.5275131522822,28.925707379496657,0.999502381460155,25.125177809388337,830.479374110953,36.2228307254623,0.9986493211061349,30.809367881548976,946.8643935079726,41.732132687927106
sift1m,kmeans,20260820,16,24,17269,0.9486727754201262,1.0,1.0,0.14496503045130035,756.587990039956,766.0,1020.0,169.1000721972453,,,0.99982627830216,16.494266187883703,600.1764160778408,27.282173056874782,0.9996525566043198,21.802120141342755,708.9600880495858,32.41881480623299,0.9991313915107997,24.917120667671263,768.6286658166223,35.43688420076504
sift1m,kmeans,20260820,32,24,20750,0.959550736278447,1.0,1.0,0.13676775671536534,717.8156144578313,727.0,957.0,154.460657998863,,,0.9999036144578314,15.306535569693464,537.6455561981878,25.76913437439753,0.9998072289156626,19.072110286320253,610.2070278607924,29.403306661525114,0.9995662650602409,20.678366520418496,638.0481172556772,30.963405814570176
sift1m,orion,1,2,24,9006,0.9135637969748563,1.0,1.0,0.12665559523580927,857.7912502775927,878.0,1164.75,205.130180672444,,,1.0,18.2145236508994,747.540195425272,30.71419053964024,1.0,26.66222518321119,952.5035531867644,38.795802798134574,0.9953364423717521,48.18496207050424,1445.2838018741634,59.7289156626506
sift1m,orion,1,4,24,13403,0.9340995678532051,1.0,1.0,0.1423719285685013,783.475042900843,795.0,1103.0,204.61551564907563,,,0.9996269491904798,18.09598447529482,676.30355276907,29.776160620988207,0.9991792882190554,26.373954599761053,863.1098416965352,37.760603345280764,0.9976870849809744,33.387675740352975,1020.2746036494167,44.57680227340712
sift1m,orion,1,8,24,15267,0.9393212198527585,1.0,1.0,0.14572830507730838,772.5146394183533,779.0,1078.0,192.5704571934548,,,0.999803497740224,17.555686582809223,652.5093684486374,28.90952568134172,0.999213990960896,24.82333661094723,814.385381842019,35.91556866601115,0.9987554856880854,29.573058761804827,912.978554564533,40.53423399790137
sift1m,orion,1,16,24,17955,0.9498975392626186,1.0,1.0,0.13914357489163412,742.1197994987468,746.0,1012.0,168.2821223393645,,,0.9998886104149262,16.50086336545424,599.4082326073636,27.596501977385394,0.9993873572820942,22.292688363798483,723.2736290682122,33.188363798484176,0.9987747145641882,25.14637818546813,777.8636591758211,35.960631238498856
sift1m,orion,1,32,24,22165,0.9567661907984489,1.0,1.0,0.1442089160228486,691.3232573877735,691.0,961.0,162.19040102194603,,,0.9999548838258515,15.671810142573543,538.4779371954521,25.86987908319798,0.9997744191292578,19.84927797833935,622.40690433213,29.899052346570397,0.9995939544326641,21.322440873803934,649.3996208701932,31.327450803394115
sift1m,orion_no_refinement,1,2,24,9014,0.9143548307570939,1.0,1.0,0.12648047440939075,858.1122698025295,878.0,1161.0,205.632710600342,,,1.0,18.239405369425338,746.6938096294652,29.958287108941647,1.0,26.706234745950745,952.7644774794763,38.088418016418906,0.9960062125582427,48.271329917576296,1447.039763867231,59.08643350412118
sift1m,orion_no_refinement,1,4,24,14270,0.9390923627100922,1.0,1.0,0.13824153829615674,771.7397337070778,784.0,1100.0,209.52975871635914,,,0.9997196916608269,17.55782980513108,657.6788868638721,29.262652460395344,0.9992992291520673,25.393408134642357,834.7064516129033,36.814095371669005,0.9981079187105817,31.782630063891034,978.0732289545742,43.03426244470968
sift1m,orion_no_refinement,1,8,24,17179,0.9461196856257688,1.0,1.0,0.1426982542493264,769.7000407474242,780.0,1044.0999999999985,177.4776546671801,,,0.9997671575761103,17.00320232896652,631.892634643377,28.23807860262009,0.9991850515163863,23.356248179434896,769.1138362947859,34.36184095543257,0.9986611560626346,26.488109116344138,831.576183259501,37.40201678712987
sift1m,orion_no_refinement,1,16,24,20069,0.9524343989426953,1.0,1.0,0.14649805036525027,746.7611241217799,755.0,994.0,158.27273438530145,,,0.9997508595346056,16.411981658692184,589.6866028708134,27.19632177033493,0.9994020628830534,20.82115969486962,679.7943859999003,31.459789599641024,0.9991030943245802,22.576928831479727,711.0988479377587,33.16303426263029
sift1m,orion_no_refinement,1,32,24,25197,0.9618831228963387,1.0,1.0,0.14186374063111054,696.690399650752,704.0,929.0,146.98326976014204,,,0.9999206254712862,15.140702520341337,521.19325262949,25.745147846795,0.9998412509425725,17.973643472393125,573.4697336561743,28.481363870916525,0.9997618764138588,18.724544480171488,585.4454368623715,29.211464411893136
