dataset,logical_shards,metric,difference_definition,favorable_direction,orion_mean,kmeans_mean,mean_difference,relative_difference_vs_kmeans,bootstrap_ci95_low,bootstrap_ci95_high,paired_query_count,bootstrap_replicates,bootstrap_seed,conclusion
sift1m,2,total_graph_nodes_visited,Orion minus K-Means,lower_favors_orion,72.57677777777778,71.81633333333333,0.7604444444444445,0.010588739485137241,0.6171083333333334,0.9015638888888887,9000,10000,20261034,KMEANS_FAVORED
sift1m,2,total_worker_cpu_us,Orion minus K-Means,lower_favors_orion,230.91511111111112,231.0992222222222,-0.18411111111111111,-0.0007966755982158698,-1.0320083333333334,0.6957249999999991,9000,10000,20261035,INCONCLUSIVE
sift1m,2,total_response_bytes,Orion minus K-Means,lower_favors_orion,1512.028,1512.0001111111112,0.02788888888888889,1.844503097846627e-05,-0.04911111111111111,0.10500277777777774,9000,10000,20261036,INCONCLUSIVE
sift1m,4,achieved_recall_at_10,Orion minus K-Means,higher_favors_orion,0.9290666666666667,0.9227333333333334,0.006333333333333332,0.006863665920092478,0.004277777777777777,0.008433333333333333,9000,10000,20261224,ORION_FAVORED
sift1m,4,common_ef_mean_local_target_recall,Orion minus K-Means,higher_favors_orion,0.9323075176366844,0.9240462081128747,0.008261309523809521,0.008940364076252321,0.005988269951499116,0.010610448633156962,9000,10000,20261225,ORION_FAVORED
sift1m,4,common_ef_target_weighted_recall,Orion minus K-Means,higher_favors_orion,0.9290666666666667,0.9227333333333334,0.006333333333333332,0.006863665920092478,0.004322222222222222,0.008400277777777774,9000,10000,20261226,ORION_FAVORED
sift1m,4,common_ef_mean_relevant_distance_computations,Orion minus K-Means,lower_favors_orion,796.4558518518519,829.3499074074074,-32.89405555555555,-0.03966245762103495,-35.40313287037037,-30.41327453703704,9000,10000,20261227,ORION_FAVORED
sift1m,4,P_exact,Orion minus K-Means,lower_favors_orion,1.318111111111111,1.1525555555555556,0.16555555555555557,0.14364214788392946,0.15166666666666667,0.17944444444444443,9000,10000,20261228,KMEANS_FAVORED
sift1m,4,P_HNSW,Orion minus K-Means,lower_favors_orion,2.0052222222222222,1.9165555555555556,0.08866666666666667,0.04626355151023248,0.06044166666666667,0.117,9000,10000,20261229,KMEANS_FAVORED
sift1m,4,Delta_P,Orion minus K-Means,lower_favors_orion,0.6871111111111111,0.764,-0.0768888888888889,-0.10063990692262945,-0.10488888888888889,-0.04788888888888889,9000,10000,20261230,ORION_FAVORED
sift1m,4,W90,Orion minus K-Means,lower_favors_orion,1387.9226666666666,1314.769888888889,73.15277777777777,0.05563922508112741,57.80307222222222,88.80140277777777,9000,10000,20261231,KMEANS_FAVORED
sift1m,4,full_fanout_wall_us,Orion minus K-Means,lower_favors_orion,21957.676490777776,21882.919121333332,74.75736944444442,0.0034162430080712848,-92.6612757333333,241.88823098055556,9000,10000,20261232,INCONCLUSIVE
sift1m,4,total_distance_computations,Orion minus K-Means,lower_favors_orion,2728.2742222222223,2767.701111111111,-39.42688888888889,-0.014245356455076436,-54.56209444444444,-24.215902777777792,9000,10000,20261233,ORION_FAVORED
sift1m,4,total_graph_nodes_visited,Orion minus K-Means,lower_favors_orion,143.21355555555556,143.63455555555555,-0.421,-0.0029310495539993085,-0.6311111111111111,-0.20976666666666682,9000,10000,20261234,ORION_FAVORED
sift1m,4,total_worker_cpu_us,Orion minus K-Means,lower_favors_orion,493.72133333333335,481.38177777777776,12.339555555555556,0.025633615822599574,10.129311111111113,14.54705,9000,10000,20261235,KMEANS_FAVORED
sift1m,4,total_response_bytes,Orion minus K-Means,lower_favors_orion,3008.6473333333333,3004.728666666667,3.9186666666666667,0.001304166565899572,3.7215555555555557,4.112783333333333,9000,10000,20261236,KMEANS_FAVORED
sift1m,8,achieved_recall_at_10,Orion minus K-Means,higher_favors_orion,0.935188888888889,0.9351444444444443,4.4444444444444284e-05,4.752682295070264e-05,-0.0018777777777777773,0.001977777777777778,9000,10000,20261624,INCONCLUSIVE
sift1m,8,common_ef_mean_local_target_recall,Orion minus K-Means,higher_favors_orion,0.9396176014109346,0.9381113977072312,0.0015062037037037032,0.0016055701992161106,-0.0007062814153439151,0.003686930224867723,9000,10000,20261625,INCONCLUSIVE
sift1m,8,common_ef_target_weighted_recall,Orion minus K-Means,higher_favors_orion,0.935188888888889,0.9351444444444443,4.4444444444444284e-05,4.752682295070264e-05,-0.0018555555555555558,0.0019777777777777784,9000,10000,20261626,INCONCLUSIVE
sift1m,8,common_ef_mean_relevant_distance_computations,Orion minus K-Means,lower_favors_orion,769.4013574074074,782.0659907407406,-12.664633333333335,-0.016193816740883868,-14.799740370370372,-10.568956712962962,9000,10000,20261627,ORION_FAVORED
sift1m,8,P_exact,Orion minus K-Means,lower_favors_orion,1.4413333333333334,1.3785555555555555,0.06277777777777778,0.045538808737003306,0.04777777777777778,0.07777777777777778,9000,10000,20261628,KMEANS_FAVORED
sift1m,8,P_HNSW,Orion minus K-Means,lower_favors_orion,2.669888888888889,2.651666666666667,0.018222222222222223,0.006871988267337105,-0.03578055555555555,0.07300277777777774,9000,10000,20261629,INCONCLUSIVE
sift1m,8,Delta_P,Orion minus K-Means,lower_favors_orion,1.2285555555555556,1.273111111111111,-0.04455555555555556,-0.03499738174201431,-0.101,0.010888888888888889,9000,10000,20261630,INCONCLUSIVE
sift1m,8,W90,Orion minus K-Means,lower_favors_orion,1798.584,1829.1752222222221,-30.59122222222222,-0.016724052376490023,-62.526022222222224,0.8778138888888883,9000,10000,20261631,INCONCLUSIVE
sift1m,8,full_fanout_wall_us,Orion minus K-Means,lower_favors_orion,43378.28654288888,43410.24085477778,-31.9543118888889,-0.0007361007739115544,-306.10759628055564,253.15106794722226,9000,10000,20261632,INCONCLUSIVE
sift1m,8,total_distance_computations,Orion minus K-Means,lower_favors_orion,5056.7555555555555,5404.973111111111,-348.2175555555556,-0.06442540016336396,-366.5755472222222,-330.05804166666667,9000,10000,20261633,ORION_FAVORED
sift1m,8,total_graph_nodes_visited,Orion minus K-Means,lower_favors_orion,281.16,289.5316666666667,-8.371666666666666,-0.02891451136605667,-8.718222222222222,-8.024994444444445,9000,10000,20261634,ORION_FAVORED
