dataset,partition_method,partition_seed,logical_shards,local_recall_threshold,query_shard_pair_count,success_count,success_fraction,required_ef_search_mean,required_ef_search_median,required_ef_search_p95,required_ef_search_std,required_distance_computations_mean,required_distance_computations_median,required_distance_computations_p95,required_distance_computations_std,required_graph_nodes_visited_mean,required_graph_nodes_visited_median,required_graph_nodes_visited_p95,required_graph_nodes_visited_std
glove-200-angular,orion_no_refinement,1,8,0.8,27261,24666,0.9048090678991967,58.34849590529474,16.0,320.0,87.08267179316319,2689.0445957998863,1099.0,11301.0,3429.1040565700355,71.22747912105733,30.0,328.0,86.62356001893947
glove-200-angular,orion_no_refinement,1,8,0.9,27261,24123,0.884890502916254,63.49119097956307,16.0,320.0,90.73970613859792,2843.107573684865,1170.0,11912.699999999993,3519.7127452236355,76.16743356962235,32.0,329.0,90.15093046602317
glove-200-angular,orion_no_refinement,1,8,0.95,27261,24069,0.8829096511499945,64.59387594000582,16.0,320.0,91.44407758385206,2871.9935601811458,1188.0,11931.0,3528.6413026148603,77.25086210478209,32.0,329.0,90.81074927972091
glove-200-angular,orion_no_refinement,1,16,0.8,27610,25556,0.9256066642520826,60.444670527469086,16.0,320.0,87.19642703114728,2591.956722491783,1103.0,9884.75,3135.66621535323,70.92584911566756,29.0,326.0,86.37982922904783
glove-200-angular,orion_no_refinement,1,16,0.9,27610,25165,0.9114451285766026,66.88583349890722,16.0,320.0,91.9242643457501,2791.1607391217963,1191.0,10937.599999999991,3285.4966844622695,77.19260878203855,32.0,326.0,90.96853678109986
glove-200-angular,orion_no_refinement,1,16,0.95,27610,25106,0.9093082216588193,68.8644945431371,20.0,320.0,93.04872917227293,2846.312833585597,1238.0,11033.0,3306.318888577752,79.13793515494304,33.0,326.0,92.04243012493062
glove-200-angular,orion_no_refinement,1,32,0.8,31003,29434,0.94939199432313,52.33709315757287,16.0,320.0,78.46441473703975,2114.4060610178703,985.0,7429.699999999997,2497.953220647783,61.6649792756676,26.0,324.0,77.53677972672463
glove-200-angular,orion_no_refinement,1,32,0.9,31003,29205,0.9420056123600942,57.552199965759286,16.0,320.0,82.58667445274227,2266.894367402842,1054.0,7652.0,2620.632789917335,66.74083204930662,28.0,324.0,81.54745475750839
glove-200-angular,orion_no_refinement,1,32,0.95,31003,29175,0.9410379640679934,58.60353041988004,16.0,320.0,83.11899957509053,2294.456383890317,1074.0,7682.299999999999,2630.905333539105,67.77196229648672,29.0,324.0,82.05238777665883
glove-200-angular,random,20260820,2,0.8,17984,15512,0.8625444839857651,57.72550283651367,16.0,320.0,86.57068467154227,2821.929087158329,1157.0,12590.149999999992,3570.941119272008,72.53371583290355,31.0,329.0,86.56487950078106
