dataset,partition_method,partition_seed,logical_shards,P_exact_mean,P_HNSW_mean,Delta_P_mean,Delta_P_median,Delta_P_p95,Delta_P_std,W90_mean,W90_median,W90_p95,W90_std,hnsw_reached_90_fraction
glove-200-angular,orion_no_refinement,1,32,2.7747777777777776,4.130777777777777,1.356,0.0,1.0,5.918045623345599,36378.34855555555,18651.0,84606.65,60510.08625466004,0.954
sift1m,random,20260820,2,1.9775555555555555,2.115222222222222,0.13766666666666666,0.0,1.0,0.3528347110664331,1649.8663333333334,1704.0,2206.0,389.59522530142317,0.868
sift1m,random,20260820,4,3.148222222222222,3.3486666666666665,0.20044444444444445,0.0,1.0,0.5192300092147369,2569.085666666667,2530.0,3921.0499999999993,775.1349407218648,0.9366666666666666
sift1m,random,20260820,8,4.902666666666667,5.081222222222222,0.17855555555555555,0.0,1.0,0.7066400326916592,3641.3244444444445,3554.5,5706.049999999999,1186.1659554408538,0.9721111111111111
sift1m,random,20260820,16,6.595111111111111,6.723777777777777,0.12866666666666668,0.0,0.0,1.0550936767257526,4390.925333333334,4335.0,6365.0999999999985,1444.816091327274,0.9898888888888889
sift1m,random,20260820,32,7.699888888888889,7.787333333333334,0.08744444444444445,0.0,0.0,1.4257232559193023,4569.447888888889,4556.5,6321.0,1508.8762530645813,0.9967777777777778
sift1m,kmeans,20260820,2,1.001111111111111,1.4334444444444445,0.43233333333333335,0.0,2.0,0.8227859854043321,1018.1513333333334,919.0,1842.0,408.73090521270836,0.784
sift1m,kmeans,20260820,4,1.1525555555555556,1.9108888888888889,0.7583333333333333,0.0,4.0,1.5309900573013386,1325.9172222222223,934.0,3233.0499999999993,882.6358486142236,0.8087777777777778
sift1m,kmeans,20260820,8,1.3785555555555555,2.6496666666666666,1.271111111111111,0.0,8.0,2.8029843002868073,1824.0523333333333,1021.0,5884.049999999999,1729.281316563843,0.8385555555555556
sift1m,kmeans,20260820,16,1.6102222222222222,3.5834444444444444,1.9732222222222222,0.0,16.0,5.061845804705758,2471.5824444444443,1289.0,11257.05,3318.49144392827,0.8754444444444445
sift1m,kmeans,20260820,32,1.8714444444444445,4.781555555555555,2.910111111111111,0.0,31.0,8.922271010659468,3098.692111111111,1381.5,20135.1,5474.553917168248,0.9091111111111111
sift1m,orion,1,2,1.0004444444444445,1.4377777777777778,0.43733333333333335,0.0,2.0,0.8265494540558357,1008.6188888888889,916.0,1799.0,399.09451829372296,0.7813333333333333
sift1m,orion,1,4,1.318111111111111,2.006666666666667,0.6885555555555556,0.0,4.0,1.424001452177093,1387.516,1051.0,3231.0499999999993,850.9988344224946,0.8248888888888889
sift1m,orion,1,8,1.4413333333333334,2.718888888888889,1.2775555555555556,0.0,8.0,2.779501678403327,1821.4052222222222,1111.0,5668.049999999999,1642.4455994764014,0.8387777777777777
sift1m,orion,1,16,1.6437777777777778,3.8824444444444444,2.2386666666666666,0.0,16.0,5.3363881251481535,2470.1614444444444,1369.0,10062.199999999997,3049.222346333592,0.8593333333333333
sift1m,orion,1,32,1.9717777777777779,5.628777777777778,3.657,0.0,31.0,9.876212493776256,3294.353111111111,1460.5,17906.299999999996,5268.144534778117,0.8854444444444445
sift1m,orion_no_refinement,1,2,1.0006666666666666,1.4337777777777778,0.4331111111111111,0.0,2.0,0.8235244642449164,995.434,912.0,1744.0499999999993,378.07286052588097,0.7834444444444445
sift1m,orion_no_refinement,1,4,1.3845555555555555,2.0643333333333334,0.6797777777777778,0.0,4.0,1.408510622196193,1431.2287777777779,1100.0,3223.0,851.9014120024918,0.8273333333333334
sift1m,orion_no_refinement,1,8,1.5915555555555556,2.7351111111111113,1.1435555555555557,0.0,8.0,2.6110561128959597,1878.1434444444444,1355.0,5753.0,1619.965340020624,0.8547777777777777
sift1m,orion_no_refinement,1,16,1.8203333333333334,3.654888888888889,1.8345555555555555,0.0,15.0,4.831478416733125,2422.5033333333336,1467.0,10316.299999999996,2919.7898315518078,0.8842222222222222
sift1m,orion_no_refinement,1,32,2.2382222222222223,4.899111111111111,2.660888888888889,0.0,31.0,8.466161618065762,3044.846,1536.0,18442.149999999998,4860.719215239151,0.9163333333333333
