policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P0,68ad1afbe4eba899,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.984,0.9,3.0,3.0,4319.412,5409.05,1775.097,2229.1,2400.01,210.267,87.0,1262.233
P0,85591d2ad956ddf2,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.9956,1.0,3.0,3.0,7544.007,9518.3,3116.138,3975.1499999999996,4245.0599999999995,399.843,144.0,1953.749
P0,0f1cf690f7612a1e,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.9986,1.0,3.0,3.0,13335.965,16692.4,5473.39,7035.799999999999,7563.349999999999,782.569,270.0,3366.167
P0,4ce505dd83497fff,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.9994,1.0,3.0,3.0,23409.946,29065.4,9480.012,12362.05,13288.31,1549.883,525.0,6091.223
P0,99f64554f021592d,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.7911,0.4,4.0,4.0,1675.603,2046.1499999999999,535.289,705.05,798.1399999999999,75.47,33.0,843.38
P0,a3004f723fadd8fe,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.862,0.5950000000000003,4.0,4.0,2171.069,2636.1,683.215,882.0999999999999,973.0999999999999,99.672,41.0,912.244
P0,e95ef758d4a66d7b,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.9414,0.7,4.0,4.0,3364.293,4084.1,1060.576,1312.2999999999997,1421.02,161.938,61.0,1158.703
P0,a6b99609271165a3,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.984,0.9,4.0,4.0,5579.644,6781.1,1786.438,2231.1499999999996,2400.01,286.417,90.0,1658.997
P0,1bec8afe1fc0b054,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.9956,1.0,4.0,4.0,9679.475,11833.3,3131.275,3975.1499999999996,4245.0599999999995,538.412,147.0,2577.417
P0,3dab823a01b35c5e,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.9986,1.0,4.0,4.0,17109.892,20797.55,5500.382,7035.799999999999,7563.349999999999,1048.343,272.0,4435.482
P0,aa29843b3dee6e57,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.9994,1.0,4.0,4.0,30171.689,36802.05,9527.763,12362.05,13288.31,2071.176,526.0,8060.927
P1,0a54065045ca7bff,"{""policy"":""P1"",""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.7911,0.4,1.57,3.0,667.134,1244.4999999999995,464.234,652.0999999999999,758.0699999999999,19.199,17.0,379.911
P1,cd741f938e433297,"{""policy"":""P1"",""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.862,0.5950000000000003,1.57,3.0,892.788,1658.3499999999997,612.76,839.0,957.05,28.075,23.0,397.845
P1,b89c88bbdb3386d5,"{""policy"":""P1"",""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.9412999999999999,0.7,1.57,3.0,1460.787,2782.2,983.271,1301.05,1391.11,51.913,37.0,502.249
P1,e62a2b9c534c1b59,"{""policy"":""P1"",""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.9839,0.9,1.57,3.0,2526.662,4883.2,1682.893,2229.1,2400.01,101.133,66.0,721.549
P1,998f0f85974aac3e,"{""policy"":""P1"",""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.9955,1.0,1.57,3.0,4442.06,8807.55,2951.482,3975.1499999999996,4245.0599999999995,201.219,129.0,1092.812
P1,506ed44810159d6b,"{""policy"":""P1"",""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.9985,1.0,1.57,3.0,7749.177,15427.4,5155.259,7035.799999999999,7563.349999999999,402.069,257.0,1849.334
P1,6d28ad1d522389b1,"{""policy"":""P1"",""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.9993,1.0,1.57,3.0,13282.214,26338.799999999996,8870.821,12362.05,13288.31,803.969,513.0,3243.614
P2,c96a67cd19ac66f0,"{""policy"":""P2"",""fixed_p"":1,""alpha"":1,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.9361,0.6,1.0,1.0,2291.998,3283.0,2291.998,3283.0,3565.06,96.141,105.0,641.9
P2,3f7c456270e3625f,"{""policy"":""P2"",""fixed_p"":1,""alpha"":1,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.9368,0.6,1.0,1.0,2370.403,3386.3499999999995,2370.403,3386.3499999999995,3679.01,100.163,109.0,635.934
P2,531c07e1f9334648,"{""policy"":""P2"",""fixed_p"":1,""alpha"":1,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9374,0.6,1.0,1.0,2522.382,3584.1,2522.382,3584.1,3920.02,108.137,117.0,658.639
P2,4e62047a763ed600,"{""policy"":""P2"",""fixed_p"":1,""alpha"":1,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9389,0.6,1.0,1.0,2820.226,4002.0,2820.226,4002.0,4355.04,124.09,133.0,716.353
P2,6c5815516e61ebef,"{""policy"":""P2"",""fixed_p"":1,""alpha"":1,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9409,0.6,1.0,1.0,3396.928,4840.05,3396.928,4840.05,5194.0599999999995,156.068,165.0,862.054
P2,80bf247ca00c1dc1,"{""policy"":""P2"",""fixed_p"":1,""alpha"":2,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.9422,0.6,1.0,1.0,3939.539,5730.05,3939.539,5730.05,6191.08,187.988,204.0,981.941
