policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P2,2a10ba36714dad5c,"{""policy"":""P2"",""fixed_p"":13,""alpha"":2,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.8587,0.4,13.0,13.0,22934.323,26392.5,3368.849,5069.4,5608.12,633.034,128.0,7550.662
P2,ec0e48d3f89c94fb,"{""policy"":""P2"",""fixed_p"":13,""alpha"":2,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.8907999999999999,0.5,13.0,13.0,36971.76,42312.95,4595.323,6326.05,6864.139999999999,1044.431,160.0,11670.318
P2,79bd37b6a9d59bc9,"{""policy"":""P2"",""fixed_p"":13,""alpha"":4,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.8507,0.4,13.0,13.0,13689.887,16308.249999999998,4141.242,7053.3499999999985,7928.17,394.988,196.0,4850.979
P2,60739ebea00864f8,"{""policy"":""P2"",""fixed_p"":13,""alpha"":4,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.8563,0.4,13.0,13.0,14504.751,17497.2,4262.17,7132.749999999998,8051.19,417.455,200.0,5099.422
P2,82accce0a4e726ad,"{""policy"":""P2"",""fixed_p"":13,""alpha"":4,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.8686,0.4,13.0,13.0,18230.848,21825.5,4499.608,7463.599999999998,8343.43,518.022,208.0,6172.947
P2,73ab7f3fc349e950,"{""policy"":""P2"",""fixed_p"":13,""alpha"":4,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.8882000000000001,0.5,13.0,13.0,25920.644,30575.1,4986.014,7998.599999999999,8951.16,733.706,224.0,8453.706
P2,04f6e0c10967a9c0,"{""policy"":""P2"",""fixed_p"":13,""alpha"":4,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.909,0.6,13.0,13.0,39817.134,46212.299999999996,5993.906,9122.599999999999,10017.55,1145.026,256.0,12547.291
P2,0e5081b87635cc63,"{""policy"":""P2"",""fixed_p"":13,""alpha"":8,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.8912,0.5,13.0,13.0,19364.678,24537.1,7244.067,12356.699999999997,13924.55,594.353,388.0,6573.747
P2,1273045b94586937,"{""policy"":""P2"",""fixed_p"":13,""alpha"":8,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.8956000000000001,0.5,13.0,13.0,20302.603,26067.8,7347.813,12497.449999999999,13993.47,620.833,392.0,6852.241
P2,b8792ca57ed7d7f3,"{""policy"":""P2"",""fixed_p"":13,""alpha"":8,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9052,0.5950000000000003,13.0,13.0,23927.801,30102.55,7552.786,12732.499999999998,14252.34,720.929,400.0,7888.811
P2,83b288bffbd4743e,"{""policy"":""P2"",""fixed_p"":13,""alpha"":8,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9166,0.6,13.0,13.0,31455.333,38546.1,7979.188,13157.1,14731.71,935.614,416.0,10110.988
P2,b3b8489cfc96141e,"{""policy"":""P2"",""fixed_p"":13,""alpha"":8,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9297000000000001,0.6,13.0,13.0,45115.8,53472.25,8827.469,14120.049999999996,15697.099999999999,1346.041,448.0,14183.715
