collection_name,m,ef_construct,query_ef,full_scan_threshold,indexing_threshold,top_k,exact_latency_mean_ms,exact_latency_p50_ms,exact_latency_p95_ms,approx_latency_mean_ms,approx_latency_p50_ms,approx_latency_p95_ms,approx_server_time_mean_ms,recall_at_k_mean,recall_at_k_stddev,hit_at_1_mean,build_secs,wait_index_secs,indexed_vectors_count,points_count,segments_count,ram_data_size,disk_data_size
hnsw_formal_d128_n50000_m32_efc64_fs10,32,64,64,10,10,10,6.786558339372277,6.818930967710912,7.348088664002716,2.7349935087841004,2.7470914646983147,2.9733173782005906,0.5855868750000001,0.9805000000000004,0.10329448194361594,0.98,9.36131248390302,1.018219067947939,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc64_fs10,32,64,128,10,10,10,6.786558339372277,6.818930967710912,7.348088664002716,2.9177162842825055,2.93903099372983,3.28062567859888,0.8454898799999999,0.9975000000000002,0.015612494995995992,0.995,9.36131248390302,1.018219067947939,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc64_fs10,32,64,256,10,10,10,6.786558339372277,6.818930967710912,7.348088664002716,3.315383648732677,3.3108319621533155,3.606954682618379,1.1207224149999995,0.9980000000000001,0.013999999999999997,0.995,9.36131248390302,1.018219067947939,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc128_fs10,32,128,16,10,10,10,6.684901668922976,6.616206141188741,7.497395656537265,2.506325675640255,2.4769309675320983,2.7942437911406155,0.35470343,0.8265000000000005,0.12824878167062642,0.885,9.484130478696898,1.016245709033683,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc128_fs10,32,128,32,10,10,10,6.684901668922976,6.616206141188741,7.497395656537265,2.567386208102107,2.5540089700371027,2.818745980039239,0.4669853999999998,0.9470000000000011,0.07994373021069257,0.965,9.484130478696898,1.016245709033683,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc128_fs10,32,128,64,10,10,10,6.684901668922976,6.616206141188741,7.497395656537265,2.754502242896706,2.773988526314497,3.0408335849642754,0.6437159900000003,0.9920000000000002,0.028913664589601915,0.995,9.484130478696898,1.016245709033683,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc128_fs10,32,128,128,10,10,10,6.684901668922976,6.616206141188741,7.497395656537265,2.935377460671589,2.924076863564551,3.184953425079584,0.863311075,0.9984999999999999,0.012155245781143215,1.0,9.484130478696898,1.016245709033683,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc128_fs10,32,128,256,10,10,10,6.684901668922976,6.616206141188741,7.497395656537265,3.1365731998812407,3.0925379833206534,3.5928091849200428,1.1403814399999996,1.0,0.0,1.0,9.484130478696898,1.016245709033683,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc256_fs10,32,256,16,10,10,10,7.130889319814742,7.134523009881377,7.743517437484115,2.4930264183785766,2.4975419510155916,2.760171692352742,0.3878811149999998,0.8240000000000007,0.12297967311714567,0.85,9.910188641864806,1.525205944897607,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc256_fs10,32,256,32,10,10,10,7.130889319814742,7.134523009881377,7.743517437484115,2.6483396522235125,2.633693045936525,2.9265335295349355,0.4992003050000001,0.944000000000001,0.08404760555780277,0.965,9.910188641864806,1.525205944897607,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc256_fs10,32,256,64,10,10,10,7.130889319814742,7.134523009881377,7.743517437484115,2.7038465079385787,2.7038725093007088,3.030543203931302,0.6491641600000001,0.9925000000000002,0.03864906208435077,0.995,9.910188641864806,1.525205944897607,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc256_fs10,32,256,128,10,10,10,7.130889319814742,7.134523009881377,7.743517437484115,2.9727071488741785,2.9635870596393943,3.2406350364908576,0.906486855,0.9985,0.012155245781143215,1.0,9.910188641864806,1.525205944897607,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc256_fs10,32,256,256,10,10,10,7.130889319814742,7.134523009881377,7.743517437484115,3.20418584626168,3.1926233787089586,3.479943727143109,1.16786193,1.0,0.0,1.0,9.910188641864806,1.525205944897607,50000,50000,2,,
