experiment_id,timestamp,git_commit,dataset,dataset_checksum,partition_method,partition_seed,logical_shards,physical_hosts,logical_to_physical_mapping,vector_count,dimension,distance_metric,HNSW_M,HNSW_efConstruction,efSearch,navigation_sample_size,navigation_sample_rate,k_nav,shard_size_mean,shard_size_std,shard_size_min,shard_size_max,edge_cut_ratio,traversal_weighted_edge_cut,mean_retained_degree_ratio,largest_component_fraction,mean_path_shards,mean_path_transitions,mean_local_target_recall,mean_local_distance_computations,P_exact_mean,P_exact_p95,P_HNSW_mean,P_HNSW_p95,Delta_P_mean,W90_mean,W90_p95
c23-20260821-v1-sift1m-random-m2,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,sift1m,dd6f0a6ed6b7ebb8934680f861a33ed01ff33991eaee4fd60914d854a0ca5984,random,20260820,2,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1000000,128,euclid,32,200,24,,,,500000.0,516.0,499484,500516,0.5000790496170918,0.49889077510330393,0.4998896042669522,0.999732,2.0,430.37966666666665,0.9424587507248909,831.8760496024023,1.9775555555555555,2.0,2.115222222222222,3.0,0.13766666666666666,1649.8663333333334,2206.0
c23-20260821-v1-sift1m-random-m4,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,sift1m,dd6f0a6ed6b7ebb8934680f861a33ed01ff33991eaee4fd60914d854a0ca5984,random,20260820,4,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1000000,128,euclid,32,200,24,,,,250000.0,329.12611564565947,249550,250474,0.7500132539293753,0.7513282953518077,0.24996115656638312,0.992371,4.0,649.4178888888889,0.9653161087657713,780.1613977195722,3.148222222222222,4.0,3.3486666666666665,5.0,0.20044444444444445,2569.085666666667,3921.0499999999993
c23-20260821-v1-sift1m-random-m8,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,sift1m,dd6f0a6ed6b7ebb8934680f861a33ed01ff33991eaee4fd60914d854a0ca5984,random,20260820,8,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1000000,128,euclid,32,200,24,,,,125000.0,341.7239382893742,124536,125527,0.8751017404118908,0.8754531018985933,0.12487849348537974,0.933813,8.0,756.9401111111112,0.9809750151194437,725.8546832476565,4.902666666666667,6.0,5.081222222222222,7.0,0.17855555555555555,3641.3244444444445,5706.049999999999
c23-20260821-v1-sift1m-random-m16,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,sift1m,dd6f0a6ed6b7ebb8934680f861a33ed01ff33991eaee4fd60914d854a0ca5984,random,20260820,16,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1000000,128,euclid,32,200,24,,,,62500.0,215.0499941873982,62060,62901,0.937513596703411,0.9383030282080095,0.062495844865121095,0.714625,16.0,810.8503333333333,0.989828375788257,661.1888012641374,6.595111111111111,8.0,6.723777777777777,8.0,0.12866666666666668,4390.925333333334,6365.0999999999985
c23-20260821-v1-sift1m-random-m32,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,sift1m,dd6f0a6ed6b7ebb8934680f861a33ed01ff33991eaee4fd60914d854a0ca5984,random,20260820,32,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1000000,128,euclid,32,200,24,,,,31250.0,157.77555260559222,30937,31639,0.9687955783672851,0.9693380634964489,0.031202056761065862,0.132782,32.0,838.2462222222222,0.9952765928461349,594.5730670004342,7.699888888888889,9.0,7.787333333333334,9.0,0.08744444444444445,4569.447888888889,6321.0
c23-20260821-v1-sift1m-kmeans-m2,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,sift1m,dd6f0a6ed6b7ebb8934680f861a33ed01ff33991eaee4fd60914d854a0ca5984,kmeans,20260820,2,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1000000,128,euclid,32,200,24,,,,500000.0,14178.0,485822,514178,0.0007497356831325722,0.00491162263143675,0.9989728747796748,0.999971,2.0,6.302555555555555,0.9148139941403846,861.0448703744737,1.001111111111111,1.0,1.4334444444444445,3.0,0.43233333333333335,1018.1513333333334,1842.0
c23-20260821-v1-sift1m-kmeans-m4,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,sift1m,dd6f0a6ed6b7ebb8934680f861a33ed01ff33991eaee4fd60914d854a0ca5984,kmeans,20260820,4,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1000000,128,euclid,32,200,24,,,,250000.0,153947.29147828487,138144,513838,0.08305535064345033,0.0909639788782683,0.9228262393675201,0.999925,3.667777777777778,105.79333333333334,0.9284400788603041,831.0658731600945,1.1525555555555556,2.0,1.9108888888888889,5.0,0.7583333333333333,1325.9172222222223,3233.0499999999993
c23-20260821-v1-sift1m-kmeans-m8,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,sift1m,dd6f0a6ed6b7ebb8934680f861a33ed01ff33991eaee4fd60914d854a0ca5984,kmeans,20260820,8,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1000000,128,euclid,32,200,24,,,,125000.0,44115.6951577327,75637,223116,0.19452922482963708,0.2040590444746487,0.8151653841020088,0.999911,6.767666666666667,234.19611111111112,0.9383331020140574,795.1604464349186,1.3785555555555555,2.0,2.6496666666666666,9.0,1.271111111111111,1824.0523333333333,5884.049999999999
c23-20260821-v1-sift1m-kmeans-m16,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,sift1m,dd6f0a6ed6b7ebb8934680f861a33ed01ff33991eaee4fd60914d854a0ca5984,kmeans,20260820,16,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1000000,128,euclid,32,200,24,,,,62500.0,14193.748778071282,40145,92138,0.29327908983591194,0.29967187839708653,0.7193464495322179,0.999912,10.321222222222222,336.76377777777776,0.9486727754201262,756.587990039956,1.6102222222222222,3.0,3.5834444444444444,17.0,1.9732222222222222,2471.5824444444443,11257.05
c23-20260821-v1-sift1m-kmeans-m32,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,sift1m,dd6f0a6ed6b7ebb8934680f861a33ed01ff33991eaee4fd60914d854a0ca5984,kmeans,20260820,32,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1000000,128,euclid,32,200,24,,,,31250.0,7252.033352791477,11607,51413,0.37735385892470175,0.3833976628759432,0.6383395162291472,0.999738,16.774555555555555,422.95044444444443,0.959550736278447,717.8156144578313,1.8714444444444445,4.0,4.781555555555555,33.0,2.910111111111111,3098.692111111111,20135.1
