record_type,record_id,method,case_id,block_id,order_label,metric,value,n,mean,median,sample_standard_deviation,hash_all_value,orion_value,difference_orion_minus_hash_all,relative_difference_percent,statistic,degrees_of_freedom,p_value_two_sided,confidence_interval_95_low,confidence_interval_95_high,extreme_count,enumeration_count,input_path,sha256,size_bytes
paired_difference_summary,qps,,,,,qps,,6,17.258162538915844,24.06331230043844,17.58093195163002,,,,,,,,-1.191894033710767,35.708219111542455,,,,,
paired_difference_summary,latency_p50_ms,,,,,latency_p50_ms,,6,-3.685427460974703,-2.953669463749975,1.7277636730376196,,,,,,,,-5.4986042367779735,-1.8722506851714322,,,,,
paired_difference_summary,latency_p95_ms,,,,,latency_p95_ms,,6,-6.139776756754141,-9.04739874531515,9.77353174862416,,,,,,,,-16.396469301415255,4.116915787906975,,,,,
paired_difference_summary,latency_p99_ms,,,,,latency_p99_ms,,6,-6.066063234660149,-9.402699709171415,14.278553534369447,,,,,,,,-21.05048619979022,8.918359730469923,,,,,
inference,qps:welch_two_sample_t_test,,,,,qps,,,,,,,,,,3.0964010896837726,9.849838128338076,0.011517943214841803,,,,,,,
inference,qps:exact_unpaired_permutation_test,,,,,qps,,,,,,,,17.25816253891594,,,,0.01948051948051948,,,18,924,,,
inference,qps:paired_t_test,,,,,qps,,,,,,,,17.258162538915844,,2.4045194097028415,5,0.06127754469504966,-1.191894033710767,35.708219111542455,,,,,
inference,qps:exact_sign_flip_test,,,,,qps,,,,,,,,17.258162538915844,,,,0.125,,,8,64,,,
inference,latency_p50_ms:welch_two_sample_t_test,,,,,latency_p50_ms,,,,,,,,,,-5.460620188627295,7.159818804059923,0.0008762495432859937,,,,,,,
inference,latency_p50_ms:exact_unpaired_permutation_test,,,,,latency_p50_ms,,,,,,,,-3.685427460974722,,,,0.0021645021645021645,,,2,924,,,
inference,latency_p50_ms:paired_t_test,,,,,latency_p50_ms,,,,,,,,-3.685427460974703,,-5.224914092306203,5,0.0033960212727720896,-5.4986042367779735,-1.8722506851714322,,,,,
inference,latency_p50_ms:exact_sign_flip_test,,,,,latency_p50_ms,,,,,,,,-3.685427460974703,,,,0.03125,,,2,64,,,
inference,latency_p95_ms:welch_two_sample_t_test,,,,,latency_p95_ms,,,,,,,,,,-1.9222725198301758,6.714497808846031,0.0977789524430754,,,,,,,
inference,latency_p95_ms:exact_unpaired_permutation_test,,,,,latency_p95_ms,,,,,,,,-6.139776756754145,,,,0.09740259740259741,,,90,924,,,
inference,latency_p95_ms:paired_t_test,,,,,latency_p95_ms,,,,,,,,-6.139776756754141,,-1.538780512046216,5,0.18447548800375824,-16.396469301415255,4.116915787906975,,,,,
inference,latency_p95_ms:exact_sign_flip_test,,,,,latency_p95_ms,,,,,,,,-6.139776756754141,,,,0.21875,,,14,64,,,
inference,latency_p99_ms:welch_two_sample_t_test,,,,,latency_p99_ms,,,,,,,,,,-1.3517129995838815,8.823967917036168,0.21009592397092458,,,,,,,
inference,latency_p99_ms:exact_unpaired_permutation_test,,,,,latency_p99_ms,,,,,,,,-6.066063234660163,,,,0.2077922077922078,,,192,924,,,
inference,latency_p99_ms:paired_t_test,,,,,latency_p99_ms,,,,,,,,-6.066063234660149,,-1.0406347979582202,5,0.34572518719031453,-21.05048619979022,8.918359730469923,,,,,
inference,latency_p99_ms:exact_sign_flip_test,,,,,latency_p99_ms,,,,,,,,-6.066063234660149,,,,0.34375,,,22,64,,,
input_file,01-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,01-hash/final_metrics.csv,32d6855e03e3fac1e608540b73d40826a8ab3bf4297bdd760f1d7f4ef9b0e71b,470
input_file,01-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,01-hash/run_manifest.json,e9b3eac418364c8d1689f8c890bc145c708899f1127e81a18259107bac49028e,43788
input_file,02-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,02-orion/final_metrics.csv,7b3fdcb1d2cfe869b1a72e0d2e4c32c782cb5cf0eb94442112647724335cb399,474
input_file,02-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,02-orion/run_manifest.json,9be6e1f8d4adf841876655a9db0732244e0b48a3ef16c0c76373f5eeff07077f,49187
input_file,03-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,03-orion/final_metrics.csv,6e19b6b037889f0ba63666b704dc6dd2b7443992e28be6042a896d04cd18adef,473
input_file,03-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,03-orion/run_manifest.json,cf4d9c3166d64939256081b4f1e9117968367c4aa0b7883c66fcfcac6f1b431a,49187
input_file,04-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,04-hash/final_metrics.csv,e9561b1028b8ac525baa6c69d6d8bf76dd107ca11f760d537388f1b1b51975cb,470
input_file,04-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,04-hash/run_manifest.json,ecda1e868c1e21567155fad265a5705d8179d277fd4d6bfb90cbbaad882c79a0,43788
input_file,05-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,05-orion/final_metrics.csv,306b7a4f196bb45f4c1049b22f505bc3f4c7a1f3bd152b2d6e4345c426973ce5,473
input_file,05-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,05-orion/run_manifest.json,14395b105990bcd5c39eef1a88ad3159d83e1226323acc1382e5d808dfa0988e,49187
input_file,06-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,06-hash/final_metrics.csv,40532c7f8fb2f1b0b4019e5222e40cd2e055a531c85a692b055120a5d3e67265,471
input_file,06-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,06-hash/run_manifest.json,98aff3e67a7fbb73d346f290b02d316d00094858d43bedfd3051774c23c3f0d5,43788
input_file,07-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,07-hash/final_metrics.csv,0d5ae8ee523786c90bea24bf3dccd2fde9e331994294275c32baddeb68bc5bd9,470
