record_type,record_id,method,case_id,block_id,order_label,metric,value,n,mean,median,sample_standard_deviation,hash_all_value,orion_value,difference_orion_minus_hash_all,relative_difference_percent,statistic,degrees_of_freedom,p_value_two_sided,confidence_interval_95_low,confidence_interval_95_high,extreme_count,enumeration_count,input_path,sha256,size_bytes
inference,latency_p50_ms:welch_two_sample_t_test,,,,,latency_p50_ms,,,,,,,,,,2.427416101656373,9.959995900351705,0.035698176522280564,,,,,,,
inference,latency_p50_ms:exact_unpaired_permutation_test,,,,,latency_p50_ms,,,,,,,,2.9093611519783735,,,,0.03463203463203463,,,32,924,,,
inference,latency_p50_ms:paired_t_test,,,,,latency_p50_ms,,,,,,,,2.9093611519783735,,3.926490206970368,5,0.01110935928808143,1.0046700572940797,4.814052246662667,,,,,
inference,latency_p50_ms:exact_sign_flip_test,,,,,latency_p50_ms,,,,,,,,2.9093611519783735,,,,0.03125,,,2,64,,,
inference,latency_p95_ms:welch_two_sample_t_test,,,,,latency_p95_ms,,,,,,,,,,-0.6928920571092477,8.24225280665624,0.5074277174919526,,,,,,,
inference,latency_p95_ms:exact_unpaired_permutation_test,,,,,latency_p95_ms,,,,,,,,-2.4153629453697363,,,,0.5238095238095238,,,484,924,,,
inference,latency_p95_ms:paired_t_test,,,,,latency_p95_ms,,,,,,,,-2.4153629453697505,,-1.1817548153198432,5,0.29044026717333915,-7.669319208840585,2.8385933181010836,,,,,
inference,latency_p95_ms:exact_sign_flip_test,,,,,latency_p95_ms,,,,,,,,-2.4153629453697505,,,,0.34375,,,22,64,,,
inference,latency_p99_ms:welch_two_sample_t_test,,,,,latency_p99_ms,,,,,,,,,,-1.3191795113970466,7.220845006686135,0.22740091390598227,,,,,,,
inference,latency_p99_ms:exact_unpaired_permutation_test,,,,,latency_p99_ms,,,,,,,,-5.821296286691592,,,,0.22294372294372294,,,206,924,,,
inference,latency_p99_ms:paired_t_test,,,,,latency_p99_ms,,,,,,,,-5.821296286691592,,-2.00899738335477,5,0.10077519268391777,-13.269846801694435,1.6272542283112506,,,,,
inference,latency_p99_ms:exact_sign_flip_test,,,,,latency_p99_ms,,,,,,,,-5.821296286691592,,,,0.09375,,,6,64,,,
input_file,01-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,01-hash/final_metrics.csv,45adfed7630c4852db3012730cf7094b3a90e4897318aa357528d9de851db810,470
input_file,01-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,01-hash/run_manifest.json,fd5b50abbe72bfe6f71a09834fd9f8fd8ff2dc6022702f9981d05090178fe438,43773
input_file,02-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,02-orion/final_metrics.csv,9241afb404db062e9949c098da6aca0eb884e35e8e9478274a48d0448dfc9251,473
input_file,02-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,02-orion/run_manifest.json,d62b58134981547b072a4ee2f7ef1b0b309e959c60d676f4f55b9ce585a40dfb,49172
input_file,03-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,03-orion/final_metrics.csv,e2b95b826321b246d6dc426cd8c420b83cc3e7f8c09689fa2e795cec20e24258,473
input_file,03-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,03-orion/run_manifest.json,9f394d0e31ff2547f3ff2de05b66c888e12917bea2a9d2878d0e8ced76e72451,49172
input_file,04-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,04-hash/final_metrics.csv,ec4f393e22ddabda757072b0fbad8ece278c68e8b8fa585dacd7aeefd6a8ed61,470
input_file,04-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,04-hash/run_manifest.json,44598f4134dafc8882649ce15af83778836324b87f39b576028e7b6c5e1b6d93,43773
input_file,05-orion/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,05-orion/final_metrics.csv,9de96ed54388c03f2fab778fcf20a349bee8de98506b5e014c68b69336fd13a0,473
input_file,05-orion/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,05-orion/run_manifest.json,5a825ad5270d43942d6f7fd9b78558d0392cdf0e1e118c03f742a5b520186377,49172
input_file,06-hash/final_metrics.csv,,,,,,,,,,,,,,,,,,,,,,06-hash/final_metrics.csv,4f947d4b1e8946836f228c58f74e1847bfc97be16bb9494977371b4dede3d702,470
input_file,06-hash/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,06-hash/run_manifest.json,8f7346d0e04f43f2a6a098109be2bb0d1a2261daa3c335c3e9aefd7dfb34e31e,43773
